Round,Date,Team 1,Team 2,FT
1,1891,Blackburn Rovers,Derby County,0-2
1,1891,Bolton Wanderers,Derby County,03-Jan
1,1891,Burnley,Derby County,02-Apr
1,1891,Darwen,Derby County,2-0
1,1891,Everton,Derby County,01-Feb
1,1891,Notts County,Derby County,02-Jan
1,1891,Preston North End,Derby County,3-0
1,1891,Stoke City,Derby County,02-Jan
1,1891,Sunderland,Derby County,07-Jan
1,1891,West Bromwich Albion,Derby County,04-Feb
1,1891,Wolverhampton Wanderers,Derby County,01-Mar
1,1891,Accrington F.C.,Everton,01-Jan
1,1891,Aston Villa,Everton,03-Apr
1,1891,Blackburn Rovers,Everton,02-Feb
1,1891,Bolton Wanderers,Everton,1-0
1,1891,Burnley,Everton,1-0
1,1891,Darwen,Everton,03-Jan
1,1891,Derby County,Everton,0-3
1,1891,Notts County,Everton,01-Mar
1,1891,Preston North End,Everton,4-0
1,1891,Stoke City,Everton,0-1
1,1891,Sunderland,Everton,02-Jan
1,1891,West Bromwich Albion,Everton,4-0
1,1891,Wolverhampton Wanderers,Everton,05-Jan
1,1891,Accrington F.C.,Notts County,2-0
1,1891,Aston Villa,Notts County,05-Jan
1,1891,Blackburn Rovers,Notts County,05-Apr
1,1891,Bolton Wanderers,Notts County,2-0
1,1891,Burnley,Notts County,1-0
1,1891,Darwen,Notts County,02-Mar
1,1891,Derby County,Notts County,3-0
1,1891,Everton,Notts County,4-0
1,1891,Preston North End,Notts County,6-0
1,1891,Stoke City,Notts County,01-Mar
1,1891,Sunderland,Notts County,4-0
1,1891,West Bromwich Albion,Notts County,02-Feb
1,1891,Wolverhampton Wanderers,Notts County,02-Jan
1,1891,Accrington F.C.,Preston North End,01-Mar
1,1891,Aston Villa,Preston North End,03-Jan
1,1891,Blackburn Rovers,Preston North End,02-Apr
1,1891,Bolton Wanderers,Preston North End,3-0
1,1891,Burnley,Preston North End,2-0
1,1891,Darwen,Preston North End,0-4
1,1891,Derby County,Preston North End,01-Feb
1,1891,Everton,Preston North End,01-Jan
1,1891,Notts County,Preston North End,2-0
1,1891,Stoke City,Preston North End,0-1
1,1891,Sunderland,Preston North End,04-Jan
1,1891,West Bromwich Albion,Preston North End,01-Feb
1,1891,Wolverhampton Wanderers,Preston North End,3-0
1,1891,Accrington F.C.,Stoke City,3-0
1,1891,Aston Villa,Stoke City,02-Jan
1,1891,Blackburn Rovers,Stoke City,05-Mar
1,1891,Bolton Wanderers,Stoke City,01-Jan
1,1891,Burnley,Stoke City,04-Jan
1,1891,Darwen,Stoke City,09-Mar
1,1891,Derby County,Stoke City,03-Mar
1,1891,Everton,Stoke City,1-0
1,1891,Notts County,Stoke City,01-Jan
1,1891,Preston North End,Stoke City,03-Feb
1,1891,Sunderland,Stoke City,04-Jan
1,1891,West Bromwich Albion,Stoke City,02-Feb
1,1891,Wolverhampton Wanderers,Stoke City,04-Jan
1,1891,Accrington F.C.,Sunderland,03-May
1,1891,Aston Villa,Sunderland,05-Mar
1,1891,Blackburn Rovers,Sunderland,03-Jan
1,1891,Bolton Wanderers,Sunderland,04-Mar
1,1891,Burnley,Sunderland,01-Feb
1,1891,Darwen,Sunderland,01-Jul
1,1891,Derby County,Sunderland,0-1
1,1891,Everton,Sunderland,0-4
1,1891,Notts County,Sunderland,1-0
1,1891,Preston North End,Sunderland,03-Jan
1,1891,Stoke City,Sunderland,01-Mar
1,1891,West Bromwich Albion,Sunderland,02-May
1,1891,Wolverhampton Wanderers,Sunderland,01-Mar
1,1891,Accrington F.C.,West Bromwich Albion,04-Feb
1,1891,Aston Villa,West Bromwich Albion,05-Jan
1,1891,Blackburn Rovers,West Bromwich Albion,03-Feb
1,1891,Bolton Wanderers,West Bromwich Albion,01-Jan
1,1891,Burnley,West Bromwich Albion,03-Feb
1,1891,Darwen,West Bromwich Albion,01-Jan
1,1891,Derby County,West Bromwich Albion,01-Jan
1,1891,Everton,West Bromwich Albion,04-Mar
1,1891,Notts County,West Bromwich Albion,4-0
1,1891,Preston North End,West Bromwich Albion,1-0
1,1891,Stoke City,West Bromwich Albion,1-0
1,1891,Sunderland,West Bromwich Albion,4-0
1,1891,Wolverhampton Wanderers,West Bromwich Albion,02-Jan
1,1891,Accrington F.C.,Wolverhampton Wanderers,03-Feb
1,1891,Aston Villa,Wolverhampton Wanderers,03-Jun
1,1891,Blackburn Rovers,Wolverhampton Wanderers,2-0
1,1891,Bolton Wanderers,Wolverhampton Wanderers,3-0
1,1891,Burnley,Wolverhampton Wanderers,01-Jan
1,1891,Darwen,Wolverhampton Wanderers,01-Apr
1,1891,Derby County,Wolverhampton Wanderers,02-Jan
1,1891,Everton,Wolverhampton Wanderers,02-Jan
1,1891,Notts County,Wolverhampton Wanderers,02-Feb
1,1891,Preston North End,Wolverhampton Wanderers,2-0
1,1891,Stoke City,Wolverhampton Wanderers,01-Mar
1,1891,Sunderland,Wolverhampton Wanderers,05-Feb
1,1891,West Bromwich Albion,Wolverhampton Wanderers,04-Mar
1,1892,Aston Villa,Accrington F.C.,06-Apr
1,1892,Blackburn Rovers,Accrington F.C.,03-Mar
1,1892,Bolton Wanderers,Accrington F.C.,05-Feb
1,1892,Burnley,Accrington F.C.,01-Mar
1,1892,Derby County,Accrington F.C.,03-Mar
1,1892,Everton,Accrington F.C.,01-Jan
1,1892,Manchester United,Accrington F.C.,03-Mar
1,1892,Nottingham Forest,Accrington F.C.,3-0
1,1892,Notts County,Accrington F.C.,2-0
1,1892,Preston North End,Accrington F.C.,0-0
1,1892,Sheffield Wednesday,Accrington F.C.,05-Feb
1,1892,Stoke City,Accrington F.C.,02-Feb
1,1892,Sunderland,Accrington F.C.,04-Feb
1,1892,West Bromwich Albion,Accrington F.C.,4-0
1,1892,Wolverhampton Wanderers,Accrington F.C.,05-Mar
1,1892,Accrington F.C.,Aston Villa,01-Jan
1,1892,Blackburn Rovers,Aston Villa,02-Feb
1,1892,Bolton Wanderers,Aston Villa,5-0
1,1892,Burnley,Aston Villa,0-2
1,1892,Derby County,Aston Villa,02-Jan
1,1892,Everton,Aston Villa,1-0
1,1892,Manchester United,Aston Villa,2-0
1,1892,Nottingham Forest,Aston Villa,04-May
1,1892,Notts County,Aston Villa,01-Apr
1,1892,Preston North End,Aston Villa,04-Jan
1,1892,Sheffield Wednesday,Aston Villa,05-Mar
1,1892,Stoke City,Aston Villa,0-1
1,1892,Sunderland,Aston Villa,6-0
1,1892,West Bromwich Albion,Aston Villa,03-Feb
1,1892,Wolverhampton Wanderers,Aston Villa,02-Jan
1,1892,Accrington F.C.,Blackburn Rovers,01-Jan
1,1892,Aston Villa,Blackburn Rovers,04-Jan
1,1892,Bolton Wanderers,Blackburn Rovers,02-Jan
1,1892,Burnley,Blackburn Rovers,0-0
1,1892,Derby County,Blackburn Rovers,3-0
1,1892,Everton,Blackburn Rovers,4-0
1,1892,Manchester United,Blackburn Rovers,04-Apr
1,1892,Nottingham Forest,Blackburn Rovers,0-1
1,1892,Notts County,Blackburn Rovers,0-0
1,1892,Preston North End,Blackburn Rovers,02-Jan
1,1892,Sheffield Wednesday,Blackburn Rovers,0-3
1,1892,Stoke City,Blackburn Rovers,02-Feb
1,1892,Sunderland,Blackburn Rovers,5-0
1,1892,West Bromwich Albion,Blackburn Rovers,01-Feb
1,1892,Wolverhampton Wanderers,Blackburn Rovers,04-Feb
1,1892,Accrington F.C.,Bolton Wanderers,01-Jan
1,1892,Aston Villa,Bolton Wanderers,01-Jan
1,1892,Blackburn Rovers,Bolton Wanderers,3-0
1,1892,Burnley,Bolton Wanderers,3-0
1,1892,Derby County,Bolton Wanderers,01-Jan
1,1892,Everton,Bolton Wanderers,3-0
1,1892,Manchester United,Bolton Wanderers,1-0
1,1892,Nottingham Forest,Bolton Wanderers,2-0
1,1892,Notts County,Bolton Wanderers,02-Feb
1,1892,Preston North End,Bolton Wanderers,02-Jan
1,1892,Sheffield Wednesday,Bolton Wanderers,04-Feb
1,1892,Stoke City,Bolton Wanderers,6-0
1,1892,Sunderland,Bolton Wanderers,03-Mar
1,1892,West Bromwich Albion,Bolton Wanderers,1-0
1,1892,Wolverhampton Wanderers,Bolton Wanderers,01-Feb
1,1892,Accrington F.C.,Burnley,0-4
1,1892,Aston Villa,Burnley,01-Mar
1,1892,Blackburn Rovers,Burnley,2-0
1,1892,Bolton Wanderers,Burnley,1-0
1,1892,Derby County,Burnley,1-0
1,1892,Everton,Burnley,0-1
1,1892,Manchester United,Burnley,01-Jan
1,1892,Nottingham Forest,Burnley,02-Feb
1,1892,Notts County,Burnley,03-Jan
1,1892,Preston North End,Burnley,2-0
1,1892,Sheffield Wednesday,Burnley,2-0
1,1892,Stoke City,Burnley,04-Jan
1,1892,Sunderland,Burnley,2-0
1,1892,West Bromwich Albion,Burnley,07-Jan
1,1892,Wolverhampton Wanderers,Burnley,1-0
1,1892,Accrington F.C.,Derby County,0-3
1,1892,Aston Villa,Derby County,06-Jan
1,1892,Blackburn Rovers,Derby County,02-Feb
1,1892,Bolton Wanderers,Derby County,0-3
1,1892,Burnley,Derby County,02-Jan
1,1892,Everton,Derby County,5-0
1,1892,Manchester United,Derby County,07-Jan
1,1892,Nottingham Forest,Derby County,1-0
1,1892,Notts County,Derby County,01-Jan
1,1892,Preston North End,Derby County,0-1
1,1892,Sheffield Wednesday,Derby County,03-Mar
1,1892,Stoke City,Derby County,01-Mar
1,1892,Sunderland,Derby County,03-Jan
1,1892,West Bromwich Albion,Derby County,03-Jan
1,1892,Wolverhampton Wanderers,Derby County,02-Jan
1,1892,Accrington F.C.,Everton,0-3
1,1892,Aston Villa,Everton,04-Jan
1,1892,Blackburn Rovers,Everton,02-Feb
1,1892,Bolton Wanderers,Everton,04-Jan
1,1892,Burnley,Everton,3-0
1,1892,Derby County,Everton,01-Jun
1,1892,Manchester United,Everton,03-Apr
1,1892,Nottingham Forest,Everton,02-Jan
1,1892,Notts County,Everton,01-Feb
1,1892,Preston North End,Everton,5-0
1,1892,Sheffield Wednesday,Everton,0-2
1,1892,Stoke City,Everton,0-1
1,1892,Sunderland,Everton,04-Mar
1,1892,West Bromwich Albion,Everton,3-0
1,1892,Wolverhampton Wanderers,Everton,02-Apr
1,1892,Accrington F.C.,Manchester United,02-Feb
1,1892,Aston Villa,Manchester United,2-0
1,1892,Blackburn Rovers,Manchester United,04-Mar
1,1892,Bolton Wanderers,Manchester United,04-Jan
1,1892,Burnley,Manchester United,04-Jan
1,1892,Derby County,Manchester United,05-Jan
1,1892,Everton,Manchester United,6-0
1,1892,Nottingham Forest,Manchester United,01-Jan
1,1892,Notts County,Manchester United,4-0
1,1892,Preston North End,Manchester United,02-Jan
1,1892,Sheffield Wednesday,Manchester United,1-0
1,1892,Stoke City,Manchester United,07-Jan
1,1892,Sunderland,Manchester United,6-0
1,1892,West Bromwich Albion,Manchester United,0-0
1,1892,Wolverhampton Wanderers,Manchester United,2-0
1,1892,Accrington F.C.,Nottingham Forest,01-Jan
1,1892,Aston Villa,Nottingham Forest,1-0
1,1892,Blackburn Rovers,Nottingham Forest,0-1
1,1892,Bolton Wanderers,Nottingham Forest,03-Jan
1,1892,Burnley,Nottingham Forest,01-Jan
